fname,lname,phone,email,password,course
Rebbecca,Didio,30817409123,rebbecca.didio@didio.com.au,,BBA
Stevie,Hallo,70999703366,stevie.hallo@hotmail.com,,B.COM
Mariko,Stayer,80555809019,mariko_stayer@hotmail.com,,BCA
Gerardo,Woodka,20604404682,gerardo_woodka@hotmail.com,,BBA
Mayra,Bena,20145506085,mayra.bena@gmail.com,,B.COM
Idella,Scotland,80786801355,idella@hotmail.com,,BCA
Sherill,Klar,80652208931,sklar@hotmail.com,,BBA
Ena,Desjardiws,20522609402,ena_desjardiws@desjardiws.com.au,,B.COM
Vince,Siena,70318409989,vince_siena@yahoo.com,,BCA
Theron,Jarding,80689004661,tjarding@hotmail.com,,BBA
Amira,Chudej,70813503271,amira.chudej@chudej.net.au,,B.COM
Marica,Tarbor,30117406817,marica.tarbor@hotmail.com,,BCA
Shawna,Albrough,70797706039,shawna.albrough@albrough.com.au,,BBA
Paulina,Maker,80834408929,paulina_maker@maker.net.au,,B.COM
Rose,Jebb,70494109471,rose@jebb.net.au,,BCA
Reita,Tabar,20351807078,rtabar@hotmail.com,,BBA
Maybelle,Bewley,70938707293,mbewley@yahoo.com,,B.COM
Camellia,Pylant,20517104345,camellia_pylant@gmail.com,,BCA
Roy,Nybo,20531107778,rnybo@nybo.net.au,,BBA
Albert,Sonier,70935402612,albert.sonier@gmail.com,,B.COM
Hayley,Taghon,20163804380,htaghon@taghon.net.au,,BCA
Norah,Daleo,20532206127,ndaleo@daleo.net.au,,BBA
Rosina,Sidhu,70646004488,rosina_sidhu@gmail.com,,B.COM
Royal,Costeira,70533806357,royal_costeira@costeira.com.au,,BCA
Barrie,Nicley,30644302786,bnicley@nicley.com.au,,BBA
Linsey,Gedman,70478503781,lgedman@gedman.net.au,,B.COM
Laura,Bourbonnais,30654306688,laura.bourbonnais@yahoo.com,,BCA
Fanny,Stoneking,70372109123,fstoneking@hotmail.com,,BBA
Kristian,Ellerbusch,80274801250,kristian@yahoo.com,,B.COM
Gwen,Julye,30706306734,gjulye@hotmail.com,,BCA
Ben,Majorga,20817109051,ben.majorga@hotmail.com,,BBA
Trina,Oto,70115308567,trina@oto.com.au,,B.COM
Emelda,Geffers,80709703947,emelda.geffers@gmail.com,,BCA
Zana,Ploszaj,70799108880,zana_ploszaj@ploszaj.net.au,,BBA
Shaun,Rael,30899805485,shaun.rael@rael.com.au,,B.COM
Oren,Lobosco,20504601307,olobosco@hotmail.com,,BCA
Catherin,Aguele,70647601399,caguele@gmail.com,,BBA
Pearlene,Boudrie,70446307223,pboudrie@boudrie.net.au,,B.COM
Kathryn,Bonalumi,80307102258,kathryn.bonalumi@yahoo.com,,BCA
Suzan,Landa,70157601412,suzan.landa@gmail.com,,BBA
Sommer,Agar,80913003372,sagar@agar.net.au,,B.COM
Keena,Rebich,20497203570,krebich@rebich.net.au,,BCA
Rupert,Hinkson,20716002066,rupert_hinkson@hinkson.net.au,,BBA
Aleta,Poarch,30269101298,apoarch@gmail.com,,B.COM
Jamal,Korczynski,20387709654,jamal_korczynski@gmail.com,,BCA
Luz,Broccoli,70267901774,luz_broccoli@hotmail.com,,BBA
Janessa,Ruthers,20236706845,janessa@yahoo.com,,B.COM
Lavonne,Esco,30347402120,lavonne.esco@yahoo.com,,BCA
Honey,Lymaster,70808702603,honey_lymaster@lymaster.net.au,,BBA
Jean,Cecchinato,80526302786,jean.cecchinato@gmail.com,,B.COM
Katlyn,Flitcroft,70177809968,kflitcroft@hotmail.com,,BCA
Cassie,Soros,80266606390,csoros@gmail.com,,BBA
Rolf,Gene,20445802810,rolf_gene@gene.com.au,,B.COM
Darnell,Moothart,20399609188,darnell_moothart@yahoo.com,,BCA
Cherilyn,Fraize,20487301914,cherilyn_fraize@fraize.net.au,,BBA
Lynda,Lazzaro,30493304205,lynda.lazzaro@gmail.com,,B.COM
Leigha,Capelli,70482309785,leigha.capelli@capelli.com.au,,BCA
Delfina,Binnie,80369205784,delfina_binnie@binnie.net.au,,BBA
Carlota,Gephardt,20507804389,carlota.gephardt@gephardt.com.au,,B.COM
Alida,Helger,70164203251,alida@helger.com.au,,BCA
Donte,Resureccion,70237306048,donte.resureccion@yahoo.com,,BBA
Lou,Kriner,20732803350,lou.kriner@hotmail.com,,B.COM
Dortha,Vrieze,30198106209,dortha@vrieze.net.au,,BCA
Genevive,Sanborn,20624605711,genevive@hotmail.com,,BBA
Alease,Strawbridge,70376001546,alease_strawbridge@strawbridge.com.au,,B.COM
Veda,Mishkin,70603402422,veda.mishkin@mishkin.com.au,,BCA
Craig,Vandersloot,20548707528,craig_vandersloot@yahoo.com,,BBA
Lauran,Tovmasyan,20254605344,ltovmasyan@tovmasyan.net.au,,B.COM
Aaron,Kloska,70989604827,aaron_kloska@kloska.net.au,,BCA
Francene,Skursky,20594103178,francene.skursky@skursky.net.au,,BBA
Zena,Daria,30282208156,zdaria@gmail.com,,B.COM
Brigette,Breckenstein,30572203451,brigette@breckenstein.com.au,,BCA
Jeniffer,Jezek,30326805102,jeniffer@gmail.com,,BBA
Selma,Elm,30918309493,selm@elm.net.au,,B.COM
Elenora,Handler,80567103318,ehandler@yahoo.com,,BCA
Nadine,Okojie,80974602341,nadine.okojie@okojie.com.au,,BBA
Kristin,Shiflet,30452907210,kristin@hotmail.com,,B.COM
Melinda,Fellhauer,30438703800,melinda_fellhauer@fellhauer.com.au,,BCA
Kirby,Litherland,70528403845,kirby.litherland@hotmail.com,,BBA
Kent,Ivans,70866104016,kent_ivans@yahoo.com,,B.COM
Dan,Platz,70430601623,dan_platz@hotmail.com,,BCA
Millie,Pirkl,30602302680,millie_pirkl@gmail.com,,BBA
Moira,Qadir,80768704883,moira.qadir@gmail.com,,B.COM
Reta,Qazi,30197409948,reta.qazi@yahoo.com,,BCA
Brittney,Lolley,30407207094,brittney@lolley.net.au,,BBA
Leandro,Bolka,30815704609,leandro_bolka@hotmail.com,,B.COM
Edison,Sumera,80911401763,edison.sumera@sumera.net.au,,BCA
Breana,Cassi,30230508627,breana@yahoo.com,,BBA
Jarvis,Nicols,80211705217,jarvis@gmail.com,,B.COM
Felicitas,Orlinski,30245101896,felicitas_orlinski@orlinski.com.au,,BCA
Geraldine,Neisius,30824302999,geraldine@gmail.com,,BBA
Alfred,Pacleb,80945007978,alfred@pacleb.net.au,,B.COM
Leatha,Block,80763508350,leatha_block@gmail.com,,BCA
Jacquelyne,Rosso,20456506425,jacquelyne.rosso@yahoo.com,,BBA
Jonelle,Epps,70808508351,jepps@hotmail.com,,B.COM
Rosamond,Amlin,20800705034,rosamond.amlin@gmail.com,,BCA
Johnson,Mcenery,20171804983,johnson@gmail.com,,BBA
Elliot,Scatton,20364709507,elliot.scatton@hotmail.com,,B.COM
Gerri,Perra,70601907861,gerri@yahoo.com,,BCA
Rosendo,Jelsma,80771204785,rosendo_jelsma@hotmail.com,,BBA
Eveline,Brickhouse,30951709800,eveline@yahoo.com,,B.COM
Laurene,Bennett,80296902908,laurene_bennett@gmail.com,,BCA
Tegan,Ebershoff,20660409720,tegan_ebershoff@hotmail.com,,BBA
Tracie,Huro,70195106787,thuro@gmail.com,,B.COM
Mertie,Kazeck,80547506162,mertie.kazeck@kazeck.com.au,,BCA
Clare,Bortignon,80925606135,clare_bortignon@hotmail.com,,BBA
Rebeca,Baley,20704907728,rebeca_baley@hotmail.com,,B.COM
Nilsa,Pawell,70899708513,npawell@pawell.net.au,,BCA
Samuel,Arellanes,20799506787,samuel.arellanes@arellanes.net.au,,BBA
Ivette,Servantes,30980109429,ivette_servantes@servantes.com.au,,B.COM
Merrilee,Fajen,70910401459,merrilee@fajen.net.au,,BCA
Gianna,Eilers,30432805253,gianna@yahoo.com,,BBA
Hyman,Phinazee,80575609456,hphinazee@yahoo.com,,B.COM
Buck,Pascucci,80927901731,buck@yahoo.com,,BCA
Kenny,Leicht,30624008274,kenny@leicht.com.au,,BBA
Tabetha,Bai,70681306477,tabetha.bai@gmail.com,,B.COM
Alonso,Popper,30703607071,alonso_popper@hotmail.com,,BCA
Alonzo,Polek,30240307167,alonzo_polek@polek.net.au,,BBA
Son,Magnotta,20237607653,son.magnotta@magnotta.net.au,,B.COM
Jesusita,Druck,80360503943,jesusita@druck.net.au,,BCA
Annice,Kunich,20676906153,annice_kunich@kunich.net.au,,BBA
Delila,Buchman,80179107668,delila.buchman@hotmail.com,,B.COM
Iraida,Sionesini,30481205654,iraida.sionesini@yahoo.com,,BCA
Alona,Driesenga,80677704159,alona_driesenga@hotmail.com,,BBA
Lajuana,Vonderahe,30566102424,lajuana.vonderahe@yahoo.com,,B.COM
Madelyn,Maestri,20212908131,madelyn.maestri@yahoo.com,,BCA
Louann,Susmilch,70503504889,louann_susmilch@yahoo.com,,BBA
William,Devol,70496305297,wdevol@devol.net.au,,B.COM
Corazon,Grafenstein,80162407236,cgrafenstein@gmail.com,,BCA
Fairy,Burket,80915907562,fairy_burket@burket.com.au,,BBA
Lashawn,Urion,20479406673,lurion@yahoo.com,,B.COM
Ronald,Gayner,30773409557,rgayner@hotmail.com,,BCA
Shizue,Hayduk,30229709891,shayduk@gmail.com,,BBA
Nida,Fitz,70744502572,nfitz@hotmail.com,,B.COM
Amos,Limberg,30453909131,alimberg@limberg.com.au,,BCA
Dexter,Prosienski,30245406523,dexter@prosienski.net.au,,BBA
Ludivina,Calamarino,70537804498,lcalamarino@yahoo.com,,B.COM
Ariel,Stavely,30651004788,ariel_stavely@stavely.com.au,,BCA
Haley,Vaughn,30703506484,haley_vaughn@vaughn.net.au,,BBA
Raelene,Legeyt,30487801766,raelene@gmail.com,,B.COM
Micaela,Shiflett,80885608589,micaela_shiflett@shiflett.com.au,,BCA
Alpha,Prudhomme,70905308045,aprudhomme@hotmail.com,,BBA
Zack,Warman,80994802940,zwarman@gmail.com,,B.COM
Wilford,Pata,70744502538,wilford_pata@pata.net.au,,BCA
Carman,Robasciotti,30157009956,carman_robasciotti@hotmail.com,,BBA
Carylon,Bayot,30885807088,carylon@gmail.com,,B.COM
Gladys,Schmale,80456402338,gschmale@schmale.net.au,,BCA
Matilda,Peleg,30113005685,matilda.peleg@hotmail.com,,BBA
Jacklyn,Wojnar,20628708787,jacklyn@hotmail.com,,B.COM
Tashia,Charney,70765905711,tashia.charney@charney.net.au,,BCA
Dorian,Eischens,20773906600,deischens@gmail.com,,BBA
Jesus,Merkt,30934109757,jesus_merkt@merkt.net.au,,B.COM
Brandee,Svoboda,80361405966,brandee_svoboda@svoboda.net.au,,BCA
Edda,Mcquaide,30146508645,emcquaide@yahoo.com,,BBA
Felix,Bumby,30143103996,felix.bumby@bumby.com.au,,B.COM
Ben,Kellman,20796809243,ben_kellman@kellman.net.au,,BCA
Mickie,Upton,70764705420,mickie.upton@yahoo.com,,BBA
Phung,Krome,30961705392,pkrome@yahoo.com,,B.COM
Lashonda,Langanke,30983807533,lashonda@langanke.net.au,,BCA
Patria,Popa,20652203993,patria.popa@gmail.com,,BBA
Nidia,Horr,70844108214,nidia@gmail.com,,B.COM
Skye,Culcasi,30907503104,skye_culcasi@hotmail.com,,BCA
Kanisha,Reyelts,30292108418,kreyelts@yahoo.com,,BBA
Hector,Barras,30301708394,hector.barras@barras.com.au,,B.COM
Stefan,Mongolo,80456306214,stefan_mongolo@mongolo.net.au,,BCA
Francoise,Byon,80391409404,francoise@hotmail.com,,BBA
Lindy,Vandermeer,70940709202,lindy@vandermeer.com.au,,B.COM
Arthur,Diniz,30251703453,arthur@gmail.com,,BCA
Nicholle,Hulme,70714404719,nicholle_hulme@hulme.com.au,,BBA
Tijuana,Mesch,70141509307,tijuana_mesch@gmail.com,,B.COM
Lorenza,Schoenleber,80808107779,lorenza.schoenleber@schoenleber.com.au,,BCA
Iola,Baird,80232505905,ibaird@baird.net.au,,BBA
Sang,Weigner,30891205755,sweigner@gmail.com,,B.COM
Leonor,Prez,20746308776,lprez@prez.com.au,,BCA
Silvana,Whelpley,30517506193,swhelpley@yahoo.com,,BBA
Anthony,Stever,70709208542,anthony.stever@hotmail.com,,B.COM
Wenona,Carmel,20283201545,wenona@gmail.com,,BCA
Isadora,Yurick,70959506042,iyurick@hotmail.com,,BBA
Mose,Vonseggern,70576908004,mose_vonseggern@hotmail.com,,B.COM
Marci,Aveline,80334203889,marci.aveline@hotmail.com,,BCA
Michel,Hoyne,80618309260,michel@hoyne.com.au,,BBA
Stephania,Connon,20572505992,stephania.connon@connon.com.au,,B.COM
Charolette,Turk,80473505054,cturk@yahoo.com,,BCA
Katie,Magro,20726509702,katie_magro@gmail.com,,BBA
Inocencia,Angeron,30626802647,inocencia.angeron@angeron.net.au,,B.COM
Nikita,Novosel,30571601053,nikita_novosel@novosel.net.au,,BCA
Malcolm,Gohlke,70982603950,malcolm@yahoo.com,,BBA
Desiree,Englund,80528904594,denglund@gmail.com,,B.COM
Holley,Worland,20988509593,holley.worland@hotmail.com,,BCA
Maryann,Tates,80152004093,mtates@yahoo.com,,BBA
Ling,Dibello,70133006750,ling_dibello@yahoo.com,,B.COM
Hailey,Kopet,70379901667,hailey_kopet@kopet.com.au,,BCA
Farrah,Malboeuf,30713906376,farrah@malboeuf.com.au,,BBA
Candra,Deritis,30423103633,candra@deritis.net.au,,B.COM
Reuben,Hegland,20140205215,reuben@yahoo.com,,BCA
Anglea,Andrion,70323902830,anglea.andrion@andrion.com.au,,BBA
Paris,Tuccio,80886802010,paris.tuccio@hotmail.com,,B.COM
Latricia,Schmoyer,80544403296,latricia_schmoyer@hotmail.com,,BCA
Jeffrey,Leuenberger,80126704421,jleuenberger@yahoo.com,,BBA
Dean,Vollstedt,30677601146,dvollstedt@vollstedt.com.au,,B.COM
Deane,Haag,20971802944,dhaag@hotmail.com,,BCA
Edelmira,Pedregon,80848403223,edelmira_pedregon@hotmail.com,,BBA
Andrew,Keks,30525103153,andrew@gmail.com,,B.COM
Miesha,Decelles,30518506258,mdecelles@decelles.net.au,,BCA
Javier,Osmer,30836906924,javier@osmer.com.au,,BBA
Kizzy,Stangle,80193703980,kizzy.stangle@yahoo.com,,B.COM
Sharan,Wodicka,80471202157,sharan@wodicka.net.au,,BCA
Novella,Fritch,20261201455,nfritch@fritch.com.au,,BBA
German,Dones,20239303289,german@gmail.com,,B.COM
Robt,Blanck,30651709318,robt.blanck@yahoo.com,,BCA
Rossana,Biler,80985502125,rossana.biler@biler.net.au,,BBA
Henriette,Gish,30993505135,henriette.gish@gish.net.au,,B.COM
Buffy,Stitely,30160005230,buffy_stitely@stitely.com.au,,BCA
Christiane,Osmanski,80969309052,christiane@gmail.com,,BBA
Annamae,Lothridge,20191903941,alothridge@hotmail.com,,B.COM
Vanesa,Glockner,70705204547,vanesa@glockner.com.au,,BCA
Gennie,Pastorino,80475302870,gennie.pastorino@gmail.com,,BBA
Tamra,Kenfield,80561409153,tkenfield@kenfield.com.au,,B.COM
Tien,Kinney,30776706169,tien_kinney@kinney.com.au,,BCA
Malcom,Leja,30247709133,malcom@leja.com.au,,BBA
Claudia,Gawrych,20424603092,claudia@gmail.com,,B.COM
Page,Entzi,30248405500,page@entzi.net.au,,BCA
Lorita,Roches,80235803115,lorita_roches@roches.net.au,,BBA
Annita,Lek,80338403181,annita.lek@lek.net.au,,B.COM
Eliseo,Mikovec,20982902371,emikovec@mikovec.com.au,,BCA
Tyisha,Layland,80215806758,tyisha@yahoo.com,,BBA
Colene,Tolbent,20437601104,colene.tolbent@tolbent.net.au,,B.COM
Francis,Senters,30593307288,fsenters@gmail.com,,BCA
Hester,Dollins,20162206412,hester_dollins@gmail.com,,BBA
Susana,Baumgarter,20541005137,susana.baumgarter@yahoo.com,,B.COM
Dahlia,Tummons,30821608640,dahlia.tummons@gmail.com,,BCA
Osvaldo,Falvey,70485405045,osvaldo.falvey@yahoo.com,,BBA
Armando,Barkley,80816108201,armando.barkley@yahoo.com,,B.COM
Torie,Deras,70837104719,torie_deras@yahoo.com,,BCA
Tamie,Hollimon,80704605484,tamie@hollimon.com.au,,BBA
Lettie,Hessenthaler,30585505156,lettie_hessenthaler@hessenthaler.net.au,,B.COM
Chaya,Muhlbauer,80594304352,chaya_muhlbauer@muhlbauer.net.au,,BCA
Terina,Wildeboer,30910707349,terina_wildeboer@wildeboer.com.au,,BBA
Lisbeth,Agney,80118404145,lisbeth.agney@agney.net.au,,B.COM
Lillian,Dominique,70359406592,lillian@hotmail.com,,BCA
Corrina,Lindblom,80791505110,clindblom@gmail.com,,BBA
Dylan,Chaleun,70231902889,dylan_chaleun@hotmail.com,,B.COM
Jerrod,Luening,20955409632,jerrod_luening@luening.com.au,,BCA
